key,cbs_Key,firstName,lastName,profileUrl,defaultAssetUrl,primaryPosition,compositeRating,compositeStarRating,compositeNationalRank,compositePositionRank,compositeStateRank,homeTown.city,homeTown.state,committedInstitution.institutionKey,committedInstitution.teamKey,committedInstitution.cbsKey,committedInstitution.name,committedInstitution.abbreviation,committedInstitution.fullName,signedInstitution.institutionKey,signedInstitution.teamKey,signedInstitution.cbsKey,signedInstitution.name,signedInstitution.abbreviation,signedInstitution.fullName,currentInstitution.institutionKey,currentInstitution.teamKey,currentInstitution.cbsKey,currentInstitution.name,currentInstitution.abbreviation,currentInstitution.fullName,committedInstitution,signedInstitution,homeTown
46154856,50014674,Sean,Blakely Drummond,/player/Sean-Blakely Drummond-46154856,/Uploads/Assets/689/880/12880689.png,SF,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24350,644.0,21420.0,San Francisco,sanfran,San Francisco Dons,0.0,0.0,0.0
46166112,50025644,JJ,Massaquoi,/player/JJ-Massaquoi-46166112,/Uploads/Assets/65/696/13696065.jpeg,SG,0.0,0.0,0.0,0.0,0.0,Washington,DC,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,25227,659.0,2101685.0,UMass Lowell,UML,UMass Lowell River Hawks,0.0,0.0,0.0
46166524,28953386,Cameron,Wallace,/player/Cameron-Wallace-46166524,/Uploads/Assets/956/778/13778956.jpg,SF,0.0,0.0,0.0,0.0,0.0,Little Rock,AR,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24735,447.0,21397.0,Little Rock,ARLR,Little Rock Trojans,0.0,0.0,0.0
46156270,50015038,Joah,Chappelle,/player/Joah-Chappelle-46156270,/Uploads/Assets/922/671/13671922.jpeg,PF,0.0,0.0,0.0,0.0,0.0,Hampton,GA,24332.0,515.0,21408.0,Georgia State,GSU,Georgia State Panthers,0.0,0.0,0.0,0,0,0,24332,515.0,21408.0,Georgia State,GSU,Georgia State Panthers,0.0,0.0,0.0
46165834,50014960,Christian,Harmon,/player/Christian-Harmon-46165834,/Uploads/Assets/981/673/13673981.jpeg,SG,90.0,4.0,144.0,29.0,3.0,Akron,OH,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24108,189.0,21398.0,Arkansas State,ARST,Arkansas State Red Wolves,0.0,0.0,0.0
46166302,50014439,Andrej,Acimovic,/player/Andrej-Acimovic-46166302,/Uploads/Assets/243/731/13731243.jpeg,C,0.0,0.0,0.0,0.0,0.0,Bosnia,BOSN,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24040,68.0,21191.0,Indiana,IND,Indiana Hoosiers,0.0,0.0,0.0
46165684,50028698,Nick,Jones,/player/Nick-Jones-46165684,/Uploads/Assets/557/659/13659557.jpeg,PG,0.0,0.0,0.0,0.0,0.0,Parkville,MD,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24197,573.0,21322.0,Wagner,WAG,Wagner Seahawks,0.0,0.0,0.0
46165724,50014074,Davante,Hackett,/player/Davante-Hackett-46165724,/Uploads/Assets/207/663/13663207.jpeg,CG,0.0,0.0,0.0,0.0,0.0,Canada,CANA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24852,2146.0,26633120.0,Stonehill,0,Stonehill Skyhawks,0.0,0.0,0.0
46166122,50027702,Andre,Pasha,/player/Andre-Pasha-46166122,/Uploads/Assets/979/696/13696979.jpg,PF,0.0,0.0,0.0,0.0,0.0,Syracuse,NY,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24533,2528.0,26632956.0,New Haven,New Haven,New Haven Chargers,0.0,0.0,0.0
46151239,50014321,Matthew,Zobrist,/player/Matthew-Zobrist-46151239,/Uploads/Assets/283/731/13731283.jpeg,CG,0.0,0.0,0.0,0.0,0.0,Metamora,IL,24342.0,555.0,21304.0,Bradley,Bradley,Bradley Braves,0.0,0.0,0.0,0,0,0,24342,555.0,21304.0,Bradley,Bradley,Bradley Braves,0.0,0.0,0.0
46125423,0,Christian,Humphrey-Rembert,/player/Christian-Humphrey-Rembert-46125423,/Uploads/Assets/727/662/13662727.jpeg,PF,84.0,3.0,440.0,97.0,6.0,Oakdale,CT,24163.0,534.0,21246.0,Brown,BRWN,Brown Bears,0.0,0.0,0.0,0,0,0,24212,597.0,21349.0,Lafayette,LAF,Lafayette Leopards,0.0,0.0,0.0
46144110,29404201,Justin,Houser,/player/Justin-Houser-46144110,/Uploads/Assets/655/358/13358655.jpg,C,87.5194109772423,3.0,316.0,57.0,9.0,Malvern,PA,24047.0,82.0,21198.0,Penn State,PSU,Penn State Nittany Lions,24047.0,82.0,21198.0,Penn State,PSU,Penn State Nittany Lions,24047,82.0,21198.0,Penn State,PSU,Penn State Nittany Lions,0.0,0.0,0.0
46158732,29726078,Denis,Badalau,/player/Denis-Badalau-46158732,/Uploads/Assets/632/358/13358632.jpg,SF,91.0,4.0,214.0,47.0,34.0,Romania,ROMA,24035.0,58.0,21167.0,Rutgers,RUTG,Rutgers Scarlet Knights,0.0,0.0,0.0,0,0,0,24035,58.0,21167.0,Rutgers,RUTG,Rutgers Scarlet Knights,0.0,0.0,0.0
46166188,50015489,Matas,Deniusas,/player/Matas-Deniusas-46166188,/Uploads/Assets/232/707/13707232.png,PF,0.0,0.0,0.0,0.0,0.0,Lithuania,LITH,24206.0,588.0,21332.0,UT Martin,UTM,UT Martin Skyhawks,0.0,0.0,0.0,0,0,0,24206,588.0,21332.0,UT Martin,UTM,UT Martin Skyhawks,0.0,0.0,0.0
46143713,29189111,Jacobe,Whitted,/player/Jacobe-Whitted-46143713,/Uploads/Assets/309/750/13750309.jpeg,SF,86.0,3.0,372.0,76.0,5.0,McCalla,AL,24205.0,594.0,21334.0,Tennessee Tech,TTCH,Tennessee Tech Golden Eagles,0.0,0.0,0.0,0,0,0,24205,594.0,21334.0,Tennessee Tech,TTCH,Tennessee Tech Golden Eagles,0.0,0.0,0.0
