hs_year,player_key,full_name,hs_position,hs_height_in,hs_weight,hs_stars,hs_rating,hs_national_rank,hs_position_rank,scouting_report,scouting_report_evaluator_name,bv_role,has_scouting_report_text,has_scouting_report_evaluator,_embedding_cache_key
2010,59304,Anthony Brown,SG,79,210,4.0,96.53420614656864,61.0,14.0,,__missing__,Wing F,False,False,59304_2010
2010,59305,Derrell Conner,PG,72,165,2.0,76.66666666666667,483.0,91.0,,__missing__,Scoring PG,False,False,59305_2010
2010,59307,Darrell Williams,PF,80,235,3.0,81.11111111111111,421.0,107.0,,__missing__,C,False,False,59307_2010
2010,59308,John Gage,PF,82,205,3.0,88.96296296296295,168.0,36.0,,__missing__,PF/C,False,False,59308_2010
2010,59310,Jershon Cobb,SG,76,170,4.0,91.52342704149932,134.0,34.0,,__missing__,Wing G,False,False,59310_2010
2010,59311,Josh Huestis,PF,79,230,3.0,88.51851851851852,182.0,40.0,,__missing__,PF/C,False,False,59311_2010
2010,59314,Dwight Powell,PF,83,240,5.0,97.86346087027073,37.0,7.0,,__missing__,PF/C,False,False,59314_2010
2010,59315,Torian Oglesby,PF,79,200,2.0,76.66666666666667,483.0,119.0,,__missing__,PF/C,False,False,59315_2010
2010,59316,Cameron Black,PF,81,230,3.0,81.55555555555556,410.0,105.0,,__missing__,C,False,False,59316_2010
2010,59317,Stefan Nastic,PF,81,215,3.0,88.51851851851852,182.0,40.0,,__missing__,C,False,False,59317_2010
2010,59318,Craig Sealy,PF,79,210,3.0,84.33333333333334,329.0,81.0,,__missing__,PF/C,False,False,59318_2010
2010,59321,Royce Woolridge,SG,75,175,4.0,92.4069611780455,111.0,23.0,,__missing__,Scoring PG,False,False,59321_2010
2010,59323,Garrett Jackson,SF,78,195,3.0,88.51851851851852,182.0,41.0,,__missing__,Wing F,False,False,59323_2010
2010,59325,Bryce Jones,SG,78,210,4.0,95.66721465097578,75.0,17.0,,__missing__,Combo G,False,False,59325_2010
2010,59326,Jarrod Oldham,SG,75,180,2.0,76.66666666666667,483.0,110.0,,__missing__,Wing G,False,False,59326_2010
2010,59327,Edward Townsel,PG,73,180,2.0,76.66666666666667,483.0,91.0,,__missing__,Combo G,False,False,59327_2010
2010,59328,Maurice Jones,PG,67,150,4.0,89.18518518518518,163.0,33.0,,__missing__,Scoring PG,False,False,59328_2010
2010,59334,Preston Purifoy,SF,77,210,3.0,86.07407407407408,255.0,57.0,,__missing__,Wing F,False,False,59334_2010
2010,59335,Quincy Taylor,PG,73,190,2.0,76.66666666666667,483.0,91.0,,__missing__,Combo G,False,False,59335_2010
2010,59338,Jordan Bachynski,C,86,245,3.0,84.44444444444443,318.0,25.0,,__missing__,C,False,False,59338_2010
