feature,importance
scout_emb_118,0.02301319286285105
scout_emb_351,0.022976619672947198
scout_emb_151,0.022815049201632097
scout_emb_119,0.022289045464345698
scout_emb_122,0.022254129636317812
scout_emb_127,0.02218636212568138
scout_emb_142,0.02199516205903705
scout_emb_290,0.02187231620198911
scout_emb_152,0.02154217605234132
scout_emb_193,0.021515556234223396
scout_emb_365,0.02136860435687321
scout_emb_276,0.021247082543227352
scout_emb_229,0.02121979761995852
scout_emb_11,0.02114304866630149
scout_emb_187,0.02070797684634116
scout_emb_62,0.020707162516510426
scout_emb_341,0.020486102701605464
scout_emb_301,0.020446443906994495
scout_emb_2,0.020408123487608024
scout_emb_296,0.020351045895414168
scout_emb_183,0.020182471707520296
scout_emb_334,0.02006165590096427
scout_emb_325,0.0199893547140292
scout_emb_318,0.019882414356621633
scout_emb_89,0.019729866348571334
scout_emb_319,0.019729320018451055
scout_emb_185,0.019655830148972875
scout_emb_104,0.01963510933465872
scout_emb_143,0.01962767383366692
scout_emb_65,0.019600901798839703
scout_emb_158,0.019576038184381212
scout_emb_214,0.019522824807860006
scout_emb_383,0.019506648241889017
scout_emb_218,0.019396774912302447
scout_emb_220,0.019353105751801394
scout_emb_263,0.019277989088256495
scout_emb_201,0.019270628597768784
scout_emb_310,0.019266106148344345
scout_emb_246,0.01899272789492976
scout_emb_18,0.018816006780667624
scout_emb_0,0.018758778356066687
scout_emb_106,0.01866978832609707
scout_emb_147,0.01862255551484564
scout_emb_21,0.018612465811716085
scout_emb_198,0.01859046843392959
scout_emb_271,0.018555649230381478
scout_emb_197,0.018490048343818226
scout_emb_63,0.0184069866540244
scout_emb_173,0.018260349695754133
scout_emb_349,0.01822844690348644
scout_emb_238,0.01795316121840755
scout_emb_375,0.017932413179364098
scout_emb_279,0.01760169010716863
scout_emb_56,0.01755379801550966
scout_emb_66,0.017527923692641258
scout_emb_280,0.01745317705044428
scout_emb_245,0.017253821021764672
scout_emb_123,0.01720124397742153
scout_emb_209,0.01710409643326797
scout_emb_374,0.0169460554021667
scout_emb_222,0.016799394946859444
scout_emb_69,0.016469668490418973
scout_emb_342,0.01646065089762754
